Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2018-02-18,3.0,Johannesburg,The Wanderers Stadium,2017,India Women tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,South Africa,,,5.0,S Ismail
2018-02-21,4.0,Centurion,SuperSport Park,2017,India Women tour of South Africa,T20,20,"South Africa, India",South Africa,India,international,India,field,,no result,,,
2018-02-24,5.0,Cape Town,Newlands,2017,India Women tour of South Africa,T20,20,"India, South Africa",India,South Africa,international,South Africa,field,India,,54.0,,M Raj
2018-06-20,1.0,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"New Zealand, South Africa",New Zealand,South Africa,international,South Africa,field,New Zealand,,66.0,,
2018-06-20,2.0,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"England, South Africa",England,South Africa,international,England,bat,England,,121.0,,TT Beaumont
2018-06-23,3.0,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"England, South Africa",England,South Africa,international,England,bat,South Africa,,,6.0,
2018-06-23,4.0,Taunton,The Cooper Associates County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"England, New Zealand",England,New Zealand,international,England,bat,England,,54.0,,S Ecclestone
2018-06-28,5.0,Bristol,County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"South Africa, New Zealand",South Africa,New Zealand,international,South Africa,bat,New Zealand,,,8.0,SFM Devine
2018-06-28,6.0,Bristol,County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"New Zealand, England",New Zealand,England,international,New Zealand,bat,England,,,7.0,A Shrubsole
2018-07-01,,Chelmsford,County Ground,2018,England Tri-Nation T20 Women's Series,T20,20,"New Zealand, England",New Zealand,England,international,New Zealand,bat,England,,,7.0,KH Brunt
2018-06-12,1.0,Edinburgh,"Grange Cricket Club, Raeburn Place",2018,"Pakistan tour of Ireland, England and Scotland",T20,20,"Pakistan, Scotland",Pakistan,Scotland,international,Pakistan,bat,Pakistan,,48.0,,Sarfraz Ahmed
