Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2008-08-12,1.0,Ayr,Cambusdoon New Ground,2008,Kenya in Scotland ODI Series,ODI,50,"Scotland, Kenya",Scotland,Kenya,international,Scotland,field,,no result,,,
2008-08-25,2.0,Belfast,"Civil Service Cricket Club, Stormont",2008,Kenya in Ireland ODI Series,ODI,50,"Ireland, Kenya",Ireland,Kenya,international,Kenya,field,,no result,,,
2008-07-29,11.0,Dublin,Clontarf Cricket Club Ground,2008,European Championship Division One,ODI,50,"Netherlands, Scotland",Netherlands,Scotland,international,Netherlands,bat,Scotland,,,6.0,
2008-07-31,13.0,Dublin,Clontarf Cricket Club Ground,2008,European Championship Division One,ODI,50,"Ireland, Scotland",Ireland,Scotland,international,Ireland,field,Ireland,,,7.0,
2008-10-17,1.0,Nairobi,Gymkhana Club Ground,2008,Tri-Nation Tournament in Kenya,ODI,50,"Ireland, Zimbabwe",Ireland,Zimbabwe,international,Zimbabwe,bat,Zimbabwe,,156.0,,
2008-01-21,1.0,Karachi,National Stadium,2007,Zimbabwe in Pakistan ODI Series,ODI,50,"Pakistan, Zimbabwe",Pakistan,Zimbabwe,international,Zimbabwe,field,Pakistan,,104.0,,Nasir Jamshed
2008-01-24,2.0,Sind,"Niaz Stadium, Hyderabad",2007,Zimbabwe in Pakistan ODI Series,ODI,50,"Pakistan, Zimbabwe",Pakistan,Zimbabwe,international,Zimbabwe,bat,Pakistan,,,5.0,Sohail Tanvir
2008-01-27,3.0,,Multan Cricket Stadium,2007,Zimbabwe in Pakistan ODI Series,ODI,50,"Pakistan, Zimbabwe",Pakistan,Zimbabwe,international,Pakistan,bat,Pakistan,,37.0,,Shahid Afridi
2008-01-30,4.0,Faisalabad,Iqbal Stadium,2007,Zimbabwe in Pakistan ODI Series,ODI,50,"Pakistan, Zimbabwe",Pakistan,Zimbabwe,international,Zimbabwe,bat,Pakistan,,,7.0,Shoaib Malik
2008-02-02,5.0,,Sheikhupura Stadium,2007,Zimbabwe in Pakistan ODI Series,ODI,50,"Pakistan, Zimbabwe",Pakistan,Zimbabwe,international,Zimbabwe,bat,Pakistan,,,7.0,Younis Khan
2008-06-24,1.0,Lahore,Gaddafi Stadium,2008,Asia Cup,ODI,50,"Bangladesh, United Arab Emirates",Bangladesh,United Arab Emirates,international,Bangladesh,bat,Bangladesh,,96.0,,Mohammad Ashraful
2008-06-24,2.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Pakistan, Hong Kong",Pakistan,Hong Kong,international,Pakistan,bat,Pakistan,,155.0,,Sohail Tanvir
2008-06-25,3.0,Lahore,Gaddafi Stadium,2008,Asia Cup,ODI,50,"Bangladesh, Sri Lanka",Bangladesh,Sri Lanka,international,Bangladesh,field,Sri Lanka,,131.0,,KC Sangakkara
2008-06-25,4.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Hong Kong, India",Hong Kong,India,international,India,bat,India,,256.0,,SK Raina
2008-06-26,6.0,Lahore,Gaddafi Stadium,2008,Asia Cup,ODI,50,"Sri Lanka, United Arab Emirates",Sri Lanka,United Arab Emirates,international,Sri Lanka,bat,Sri Lanka,,142.0,,BAW Mendis
2008-06-26,5.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Pakistan, India",Pakistan,India,international,Pakistan,bat,India,,,6.0,SK Raina
2008-06-28,7.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Bangladesh, India",Bangladesh,India,international,Bangladesh,bat,India,,,7.0,SK Raina
2008-06-29,8.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Pakistan, Sri Lanka",Pakistan,Sri Lanka,international,Pakistan,field,Sri Lanka,,64.0,,KC Sangakkara
2008-06-30,9.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Bangladesh, Sri Lanka",Bangladesh,Sri Lanka,international,Sri Lanka,bat,Sri Lanka,,158.0,,ST Jayasuriya
2008-07-02,10.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Pakistan, India",Pakistan,India,international,India,bat,Pakistan,,,8.0,Younis Khan
2008-07-03,11.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"India, Sri Lanka",India,Sri Lanka,international,Sri Lanka,bat,India,,,6.0,MS Dhoni
2008-07-04,12.0,Karachi,National Stadium,2008,Asia Cup,ODI,50,"Pakistan, Bangladesh",Pakistan,Bangladesh,international,Bangladesh,bat,Pakistan,,,10.0,Abdur Rauf
2008-07-06,,Karachi,National Stadium,2008,Asia Cup,ODI,50,"India, Sri Lanka",India,Sri Lanka,international,India,field,Sri Lanka,,100.0,,BAW Mendis
2008-08-30,1.0,Darwin,Marrara Cricket Ground,2008,Bangladesh in Australia ODI Series,ODI,50,"Australia, Bangladesh",Australia,Bangladesh,international,Bangladesh,field,Australia,,180.0,,MEK Hussey
2008-09-03,2.0,Darwin,Marrara Cricket Ground,2008,Bangladesh in Australia ODI Series,ODI,50,"Australia, Bangladesh",Australia,Bangladesh,international,Bangladesh,bat,Australia,,,8.0,SE Marsh
2008-09-06,3.0,Darwin,Marrara Cricket Ground,2008,Bangladesh in Australia ODI Series,ODI,50,"Australia, Bangladesh",Australia,Bangladesh,international,Australia,bat,Australia,,73.0,,Tamim Iqbal
2008-05-08,,Kurunegala,Welagedara Stadium,2008,Women's Asia Cup,ODI,50,"Sri Lanka, India",Sri Lanka,India,international,Sri Lanka,bat,India,,,8.0,SL Pujare
2008-05-11,,Kurunegala,Welagedara Stadium,2008,Women's Asia Cup,ODI,50,"India, Sri Lanka",India,Sri Lanka,international,India,bat,India,,177.0,,A Rawat
2008-08-18,1.0,,Rangiri Dambulla International Stadium,2008,India in Sri Lanka ODI Series,ODI,50,"Sri Lanka, India",Sri Lanka,India,international,India,bat,Sri Lanka,,,8.0,BAW Mendis
2008-08-20,2.0,,Rangiri Dambulla International Stadium,2008,India in Sri Lanka ODI Series,ODI,50,"Sri Lanka, India",Sri Lanka,India,international,India,field,India,,,3.0,Z Khan
2008-08-24,3.0,Colombo,R Premadasa Stadium,2008,India in Sri Lanka ODI Series,ODI,50,"Sri Lanka, India",Sri Lanka,India,international,India,bat,India,,33.0,,MS Dhoni
2008-08-29,5.0,Colombo,R Premadasa Stadium,2008,India in Sri Lanka ODI Series,ODI,50,"Sri Lanka, India",Sri Lanka,India,international,Sri Lanka,bat,Sri Lanka,,112.0,,KMDN Kulasekara
2008-04-08,1.0,Lahore,Gaddafi Stadium,2007,Bangladesh in Pakistan ODI Series,ODI,50,"Pakistan, Bangladesh",Pakistan,Bangladesh,international,Pakistan,bat,Pakistan,,152.0,,Mohammad Yousuf
2008-04-11,2.0,Faisalabad,Iqbal Stadium,2007,Bangladesh in Pakistan ODI Series,ODI,50,"Pakistan, Bangladesh",Pakistan,Bangladesh,international,Bangladesh,bat,Pakistan,,,7.0,Salman Butt
2008-04-13,3.0,Lahore,Gaddafi Stadium,2007,Bangladesh in Pakistan ODI Series,ODI,50,"Pakistan, Bangladesh",Pakistan,Bangladesh,international,Pakistan,bat,Pakistan,,23.0,,Salman Butt
2008-04-16,4.0,,Multan Cricket Stadium,2007,Bangladesh in Pakistan ODI Series,ODI,50,"Pakistan, Bangladesh",Pakistan,Bangladesh,international,Bangladesh,bat,Pakistan,,,7.0,Shakib Al Hasan
2008-04-19,5.0,Karachi,National Stadium,2007,Bangladesh in Pakistan ODI Series,ODI,50,"Pakistan, Bangladesh",Pakistan,Bangladesh,international,Pakistan,bat,Pakistan,,150.0,,Mohammad Asif
2008-06-08,1.0,Mirpur,Shere Bangla National Stadium,2008,Kitply Cup,ODI,50,"Bangladesh, Pakistan",Bangladesh,Pakistan,international,Bangladesh,field,Pakistan,,70.0,,Salman Butt
2008-06-10,2.0,Mirpur,Shere Bangla National Stadium,2008,Kitply Cup,ODI,50,"India, Pakistan",India,Pakistan,international,India,bat,India,,140.0,,V Sehwag
2008-06-12,3.0,Mirpur,Shere Bangla National Stadium,2008,Kitply Cup,ODI,50,"Bangladesh, India",Bangladesh,India,international,Bangladesh,bat,India,,,7.0,G Gambhir
2008-06-14,,Mirpur,Shere Bangla National Stadium,2008,Kitply Cup,ODI,50,"India, Pakistan",India,Pakistan,international,Pakistan,bat,Pakistan,,25.0,,Younis Khan
2009-09-04,1.0,London,Kennington Oval,2009,NatWest Series,ODI,50,"England, Australia",England,Australia,international,England,field,Australia,,4.0,,CJ Ferguson
2009-09-06,2.0,London,Lord's,2009,NatWest Series,ODI,50,"England, Australia",England,Australia,international,England,field,Australia,,39.0,,MG Johnson
2009-09-09,3.0,Southampton,The Rose Bowl,2009,NatWest Series,ODI,50,"England, Australia",England,Australia,international,England,bat,Australia,,,6.0,CL White
2009-09-12,4.0,London,Lord's,2009,NatWest Series,ODI,50,"England, Australia",England,Australia,international,England,bat,Australia,,,7.0,B Lee
2009-09-15,5.0,Nottingham,Trent Bridge,2009,NatWest Series,ODI,50,"England, Australia",England,Australia,international,England,bat,Australia,,,4.0,RT Ponting
2009-09-17,6.0,Nottingham,Trent Bridge,2009,NatWest Series,ODI,50,"England, Australia",England,Australia,international,Australia,bat,Australia,,111.0,,TD Paine
2009-09-20,7.0,Chester-le-Street,Riverside Ground,2009,NatWest Series,ODI,50,"England, Australia",England,Australia,international,England,field,England,,,4.0,GP Swann
2008-11-07,1.0,Potchefstroom,Senwes Park,2008,Bangladesh in South Africa ODI Series,ODI,50,"South Africa, Bangladesh",South Africa,Bangladesh,international,South Africa,bat,South Africa,,61.0,,DW Steyn
2009-04-03,1.0,Durban,Kingsmead,2008,Australia in South Africa ODI Series,ODI,50,"South Africa, Australia",South Africa,Australia,international,Australia,bat,Australia,,141.0,,MEK Hussey
2009-04-05,2.0,Centurion,SuperSport Park,2008,Australia in South Africa ODI Series,ODI,50,"South Africa, Australia",South Africa,Australia,international,Australia,bat,South Africa,,,7.0,WD Parnell
2009-04-09,3.0,Cape Town,Newlands,2008,Australia in South Africa ODI Series,ODI,50,"South Africa, Australia",South Africa,Australia,international,South Africa,bat,South Africa,,25.0,,JH Kallis
2009-04-13,4.0,Port Elizabeth,St George's Park,2008,Australia in South Africa ODI Series,ODI,50,"South Africa, Australia",South Africa,Australia,international,Australia,field,South Africa,,61.0,,HH Gibbs
2009-04-17,5.0,Johannesburg,New Wanderers Stadium,2008,Australia in South Africa ODI Series,ODI,50,"South Africa, Australia",South Africa,Australia,international,South Africa,field,Australia,,47.0,,NM Hauritz
2009-01-16,1.0,,Melbourne Cricket Ground,2008,South Africa in Australia ODI Series,ODI,50,"Australia, South Africa",Australia,South Africa,international,Australia,bat,South Africa,,,3.0,JA Morkel
2009-01-18,2.0,Hobart,Bellerive Oval,2008,South Africa in Australia ODI Series,ODI,50,"Australia, South Africa",Australia,South Africa,international,South Africa,field,Australia,,5.0,,SE Marsh
2009-01-23,3.0,,Sydney Cricket Ground,2008,South Africa in Australia ODI Series,ODI,50,"Australia, South Africa",Australia,South Africa,international,Australia,bat,South Africa,,,3.0,JA Morkel
2009-01-26,4.0,,Adelaide Oval,2008,South Africa in Australia ODI Series,ODI,50,"Australia, South Africa",Australia,South Africa,international,Australia,bat,South Africa,,,8.0,AB de Villiers
2009-01-30,5.0,Perth,Western Australia Cricket Association Ground,2008,South Africa in Australia ODI Series,ODI,50,"Australia, South Africa",Australia,South Africa,international,South Africa,bat,South Africa,,39.0,,HM Amla
2009-02-01,1.0,Perth,Western Australia Cricket Association Ground,2008,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,Australia,bat,New Zealand,,,2.0,KD Mills
2009-02-06,2.0,,Melbourne Cricket Ground,2008,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,field,New Zealand,,,6.0,MJ Clarke
2009-02-08,3.0,,Sydney Cricket Ground,2008,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,field,Australia,,32.0,,BJ Haddin
2009-02-10,4.0,,Adelaide Oval,2008,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,bat,Australia,,,6.0,DJ Hussey
2009-02-13,5.0,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2008,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,field,,no result,,,
